exps,exp_co2,exp_ice,exp_Fe,dic_soft,dic_dis,o2_soft,o2_dis,c14_pre,c14_age,export_total
180_o22_p27,180,FALSE,FALSE,53.19769027,64.55305218,-75.53928007,-85.94516921,-149.053804,-82.48238733,4.93655206
180_o22_p90,180,FALSE,FALSE,59.35628517,73.98282738,-83.40419243,-88.41072707,-148.2943888,-87.99941967,4.727731662
180_o24_p27,180,FALSE,FALSE,62.19493508,51.75029943,-87.73792971,-83.48503641,-124.8873242,-85.48512324,5.137764763
180_o24_p90,180,FALSE,FALSE,77.88706227,42.83347074,-109.7719701,-74.82361259,-111.2251987,-92.80835283,5.254033056
220_o22_p27,220,FALSE,FALSE,61.74453958,56.01214381,-86.51599433,-82.08532276,-128.9685798,-85.0483262,5.221608719
220_o22_p90,220,FALSE,FALSE,67.44571169,53.76488809,-95.14944743,-79.46781741,-121.0527618,-85.69535566,5.2879404
220_o24_p27,220,FALSE,FALSE,78.41125313,36.19946773,-110.5480839,-69.73001882,-103.785389,-90.80191348,5.405348479
220_o24_p90,220,FALSE,FALSE,99.21975396,26.65880247,-139.7213111,-59.52226462,-94.13261656,-102.1225854,5.344659118
270_o22_p27,270,FALSE,FALSE,72.96396547,38.39413634,-103.0427799,-68.84640746,-107.3976069,-84.11551216,5.600356622
270_o22_p90,270,FALSE,FALSE,85.78007441,34.75505328,-120.783314,-65.5161631,-104.408653,-91.20514655,5.470942736
270_o24_p27,270,FALSE,FALSE,97.23182376,21.45491137,-136.9036878,-55.08855173,-91.46566628,-96.16241445,5.525043119
270_o24_p90,270,FALSE,FALSE,111.030728,19.2193881,-156.262422,-51.24985952,-88.93417503,-103.4067281,5.438214697
405_o22_p27,405,FALSE,FALSE,101.7128518,24.11020109,-142.994091,-56.14490251,-92.98801806,-101.8836818,5.557293748
405_o22_p90,405,FALSE,FALSE,112.1877508,24.94129193,-158.227608,-53.61162487,-92.18246765,-106.1280293,5.481415743
405_o24_p27,405,FALSE,FALSE,119.2244397,13.88924175,-167.9777306,-43.15927613,-81.53805028,-108.9613461,5.532802112
405_o24_p90,405,FALSE,FALSE,107.5797698,26.79781897,-149.1058097,-53.74294813,-94.86339548,-101.5722432,5.490357437
607_o22_p27,607,FALSE,FALSE,95.28633884,30.97816275,-132.2195519,-51.48868659,-95.67787142,-92.09407427,5.676683739
607_o22_p90,607,FALSE,FALSE,86.78952244,40.8009099,-121.5627595,-55.07689885,-102.2557384,-89.81233293,5.508511542
607_o24_p27,607,FALSE,FALSE,89.45232363,35.39672579,-125.4409587,-53.3285632,-97.47313224,-92.51530636,5.567504829
607_o24_p90,607,FALSE,FALSE,85.90801481,41.91353366,-121.1840912,-54.56024858,-102.6856773,-92.58626914,5.380422646
L180_o22_p27,180,TRUE,FALSE,46.56019329,71.76714278,-67.06382159,-84.0797918,-146.3982744,-73.61079942,5.222702987
L180_o22_p90,180,TRUE,FALSE,48.59178904,65.5844445,-70.16109035,-88.5810588,-139.4005247,-75.14522778,5.180722577
L180_o24_p27,180,TRUE,FALSE,47.59014077,54.12763133,-68.57701153,-87.05851845,-126.8382581,-70.41077177,5.287186222
L180_o24_p90,180,TRUE,FALSE,54.28588078,41.074468,-76.30020399,-81.94390767,-112.3661766,-73.39391334,5.359460803
L220_o22_p27,220,TRUE,FALSE,52.99446262,66.28691326,-74.60357646,-86.78353185,-134.1778,-80.16077457,5.332235319
L220_o22_p90,220,TRUE,FALSE,54.35336861,57.75410646,-76.44854299,-88.92636141,-127.2449969,-79.25468899,5.351302948
L220_o24_p27,220,TRUE,FALSE,54.15080213,46.53479273,-76.51456272,-82.78731111,-113.5286558,-77.39645305,5.414842648
L220_o24_p90,220,TRUE,FALSE,65.57132496,32.66433321,-92.28312727,-72.96806959,-98.73566674,-85.74424867,5.459943538
L180Feo2p2,180,TRUE,TRUE,48.86562966,85.24626715,-68.65251975,-93.3895254,-143.9354401,-71.29889507,5.713937763
L180Feo2p9,180,TRUE,TRUE,51.65195259,76.90193983,-72.5232696,-98.7998686,-136.5659104,-72.99652469,5.657510978
L180Feo4p2,180,TRUE,TRUE,50.58919996,67.4503223,-71.19779714,-97.85642572,-123.9533661,-67.88855816,5.839299802
L180Feo4p9,180,TRUE,TRUE,58.13607969,55.34526525,-81.58254874,-90.84742756,-111.1294582,-71.6065318,5.931496496
